Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,August 2016,$570K,3.6%,5.6%,92,-8.9%,5.7%,94,6.8%,1.1%,18,-21.7%,12.5%,8,0,0,103.2%,0.5%,-0.6%
,September 2016,$600K,5.2%,16.4%,98,6.5%,14.0%,111,18.1%,15.6%,24,33.3%,20.0%,9,1,1,102.6%,-0.6%,-0.5%
,October 2016,$630K,5.1%,47.4%,101,3.1%,29.5%,97,-12.6%,7.8%,11,-54.2%,-50.0%,8,-1,1,101.9%,-0.7%,-1.1%
,November 2016,$610K,-3.2%,41.9%,103,2.0%,49.3%,89,-8.2%,-2.2%,11,0.0%,-52.2%,8,0,1,101.5%,-0.5%,-1.1%
,December 2016,$635K,4.1%,12.6%,89,-13.6%,27.1%,55,-38.2%,-24.7%,4,-63.6%,-66.7%,7,-1,-1,101.8%,0.4%,-0.8%
,January 2017,$649K,2.2%,11.1%,75,-15.7%,17.2%,56,1.8%,-29.1%,7,75.0%,-63.2%,7,0,-2,101.6%,-0.3%,0.0%
,February 2017,$712K,9.7%,67.6%,65,-13.3%,-49.2%,59,5.4%,-34.4%,14,100.0%,0.0%,7,0,3,103.0%,1.5%,1.3%
,March 2017,$730K,2.5%,76.4%,75,15.4%,-53.7%,84,42.4%,-28.2%,11,-21.4%,-35.3%,7,0,3,104.2%,1.2%,2.4%
,April 2017,$720K,-1.4%,74.8%,80,6.7%,-56.5%,98,16.7%,-18.3%,9,-18.2%,-55.0%,7,0,2,105.2%,1.1%,2.9%
,May 2017,$725K,0.7%,61.1%,95,18.8%,-31.7%,111,13.3%,0.9%,14,55.6%,-30.0%,7,0,0,105.7%,0.5%,3.3%
,June 2017,$730K,0.7%,32.7%,105,10.5%,-3.7%,114,2.7%,22.6%,9,-35.7%,-50.0%,7,0,-1,105.0%,-0.7%,2.1%
,July 2017,$730K,0.0%,32.7%,119,13.3%,17.8%,116,1.8%,31.8%,17,88.9%,-26.1%,7,0,-1,105.6%,0.6%,2.9%
,August 2017,$730K,0.0%,28.1%,109,-8.4%,18.5%,104,-10.3%,10.6%,15,-11.8%,-16.7%,7,0,-1,105.1%,-0.5%,1.9%
,September 2017,$713K,-2.4%,18.8%,100,-8.3%,2.0%,100,-3.8%,-9.9%,10,-33.3%,-58.3%,7,0,-2,105.2%,0.1%,2.6%
,October 2017,$717K,0.6%,13.8%,94,-6.0%,-6.9%,95,-5.0%,-2.1%,10,0.0%,-9.1%,7,0,-1,104.1%,-1.1%,2.2%
,November 2017,$736K,2.7%,20.7%,96,2.1%,-6.8%,84,-11.6%,-5.6%,5,-50.0%,-54.5%,8,1,0,104.1%,0.0%,2.6%
,December 2017,$754K,2.5%,18.8%,82,-14.6%,-7.9%,62,-26.2%,12.7%,3,-40.0%,-25.0%,8,0,1,104.9%,0.8%,3.0%
,January 2018,$765K,1.4%,17.9%,64,-22.0%,-14.7%,44,-29.0%,-21.4%,7,133.3%,0.0%,8,0,1,105.5%,0.6%,3.9%
,February 2018,$800K,4.6%,12.4%,41,-35.9%,-36.9%,44,0.0%,-25.4%,7,0.0%,-50.0%,6,-2,-1,106.6%,1.1%,3.6%
,March 2018,$791K,-1.2%,8.3%,52,26.8%,-30.7%,57,29.5%,-32.1%,4,-42.9%,-63.6%,7,1,0,105.9%,-0.7%,1.8%
,April 2018,$750K,-5.1%,4.2%,62,19.2%,-22.5%,74,29.8%,-24.5%,9,125.0%,0.0%,7,0,0,106.6%,0.6%,1.3%
,May 2018,$745K,-0.7%,2.7%,81,30.6%,-14.7%,76,2.7%,-31.5%,10,11.1%,-28.6%,7,0,0,105.6%,-0.9%,-0.1%
,June 2018,$755K,1.4%,3.4%,68,-16.0%,-35.2%,84,10.5%,-26.3%,18,80.0%,100.0%,7,0,0,105.0%,-0.7%,0.0%
,July 2018,$740K,-2.0%,1.4%,66,-2.9%,-44.5%,88,4.8%,-24.1%,19,5.6%,11.8%,7,0,0,103.3%,-1.6%,-2.3%
,August 2018,$729K,-1.6%,-0.2%,63,-4.5%,-42.2%,89,1.1%,-14.4%,23,21.1%,53.3%,7,0,0,102.2%,-1.2%,-3.0%
,September 2018,$705K,-3.2%,-1.1%,62,-1.6%,-38.0%,96,7.9%,-4.0%,35,52.2%,250.0%,8,1,1,101.1%,-1.0%,-4.1%
,October 2018,$695K,-1.4%,-3.0%,56,-9.7%,-40.4%,84,-12.5%,-11.6%,39,11.4%,290.0%,9,1,2,100.3%,-0.8%,-3.8%
,November 2018,$750K,7.9%,1.9%,53,-5.4%,-44.8%,81,-3.6%,-3.6%,33,-15.4%,560.0%,20,11,12,99.6%,-0.7%,-4.5%
,December 2018,$750K,0.0%,-0.6%,47,-11.3%,-42.7%,44,-45.7%,-29.0%,17,-48.5%,466.7%,34,15,26,99.3%,-0.3%,-5.6%
,January 2019,$768K,2.3%,0.3%,42,-10.6%,-34.4%,47,6.8%,6.8%,26,52.9%,271.4%,35,1,27,98.8%,-0.5%,-6.6%
,February 2019,$785K,2.3%,-1.9%,41,-2.4%,0.0%,53,12.8%,20.5%,34,30.8%,385.7%,35,0,29,98.5%,-0.3%,-8.1%
,March 2019,$748K,-4.8%,-5.4%,48,17.1%,-7.7%,89,67.9%,56.1%,43,26.5%,975.0%,19,-16,12,99.0%,0.5%,-7.0%
,April 2019,$728K,-2.7%,-3.0%,62,29.2%,0.0%,110,23.6%,48.6%,50,16.3%,455.6%,9,-10,2,99.9%,1.0%,-6.6%
,May 2019,$735K,1.0%,-1.3%,86,38.7%,6.2%,132,20.0%,73.7%,57,14.0%,470.0%,10,1,3,100.2%,0.2%,-5.5%
,June 2019,$725K,-1.4%,-4.0%,93,8.1%,36.8%,114,-13.6%,35.7%,51,-10.5%,183.3%,11,2,4,100.2%,0.0%,-4.8%
,July 2019,$717K,-1.2%,-3.2%,88,-5.4%,33.3%,85,-25.4%,-3.4%,44,-13.7%,131.6%,15,4,8,99.8%,-0.4%,-3.6%
,August 2019,$670K,-6.5%,-8.0%,73,-17.0%,15.9%,54,-36.5%,-39.3%,41,-6.8%,78.3%,25,10,18,99.3%,-0.4%,-2.9%
,September 2019,$670K,0.0%,-5.0%,63,-13.7%,1.6%,74,37.0%,-22.9%,49,19.5%,40.0%,31,6,23,98.6%,-0.7%,-2.5%
,October 2019,$695K,3.7%,0.0%,73,15.9%,30.4%,88,18.9%,4.8%,45,-8.2%,15.4%,26,-5,18,98.8%,0.1%,-1.6%
,November 2019,$695K,0.0%,-7.3%,72,-1.4%,35.8%,87,-1.1%,7.4%,29,-35.6%,-12.1%,17,-9,-3,98.8%,0.0%,-0.8%
,December 2019,$650K,-6.5%,-13.3%,77,6.9%,63.8%,53,-39.1%,20.5%,15,-48.3%,-11.8%,17,0,-17,99.1%,0.3%,-0.2%
,January 2020,$645K,-0.8%,-16.0%,66,-14.3%,57.1%,43,-18.9%,-8.5%,10,-33.3%,-61.5%,36,19,1,99.0%,-0.2%,0.1%
,February 2020,$703K,9.0%,-10.4%,67,1.5%,63.4%,53,23.3%,0.0%,7,-30.0%,-79.4%,42,6,7,99.6%,0.7%,1.1%
,March 2020,$732K,4.1%,-2.1%,68,1.5%,41.7%,70,32.1%,-21.3%,14,100.0%,-67.4%,13,-30,-7,100.4%,0.7%,1.4%
,April 2020,$741K,1.3%,1.9%,64,-5.9%,3.2%,72,2.9%,-34.5%,15,7.1%,-70.0%,6,-7,-3,100.8%,0.5%,0.9%
,May 2020,$747K,0.9%,1.7%,59,-7.8%,-31.4%,87,20.8%,-34.1%,23,53.3%,-59.6%,6,0,-4,100.6%,-0.2%,0.4%
,June 2020,$724K,-3.1%,-0.1%,74,25.4%,-20.4%,98,12.6%,-14.0%,30,30.4%,-41.2%,7,1,-4,100.2%,-0.4%,0.0%
,July 2020,$710K,-1.9%,-0.9%,83,12.2%,-5.7%,112,14.3%,31.8%,29,-3.3%,-34.1%,7,0,-8,100.1%,0.0%,0.4%
,August 2020,$709K,-0.2%,5.8%,90,8.4%,23.3%,118,5.4%,118.5%,43,48.3%,4.9%,6,-1,-19,100.4%,0.3%,1.1%
,September 2020,$703K,-0.8%,5.0%,91,1.1%,44.4%,130,10.2%,75.7%,54,25.6%,10.2%,6,0,-25,100.7%,0.3%,2.1%
,October 2020,$722K,2.7%,3.9%,101,11.0%,38.4%,132,1.5%,50.0%,51,-5.6%,13.3%,7,1,-19,100.9%,0.1%,2.1%
"Seattle, WA - Alki Point",February 2012,$378K,-15.2%,-25.1%,22,10.0%,10.0%,33,13.8%,10.0%,32,-13.5%,-47.5%,97,-4,-1,94.7%,0.9%,0.8%
,March 2012,$424K,12.2%,-19.1%,25,13.6%,0.0%,41,24.2%,10.8%,29,-9.4%,-48.2%,58,-40,-105,96.3%,1.6%,-0.3%
,April 2012,$425K,0.1%,-20.3%,34,36.0%,13.3%,43,4.9%,7.5%,31,6.9%,-50.0%,44,-14,-75,96.5%,0.2%,-0.4%
,May 2012,$475K,11.8%,-16.8%,41,20.6%,64.0%,56,30.2%,27.3%,43,38.7%,-31.7%,26,-19,-93,97.8%,1.2%,1.9%
,June 2012,$465K,-2.1%,-20.5%,42,2.4%,110.0%,57,1.8%,14.0%,47,9.3%,-29.9%,33,8,-118,97.7%,0.0%,3.2%
,July 2012,$497K,6.9%,3.0%,38,-9.5%,72.7%,49,-14.0%,6.5%,38,-19.1%,-39.7%,32,-1,-144,97.5%,-0.2%,3.0%
,August 2012,$523K,5.3%,5.7%,32,-15.8%,-3.0%,35,-28.6%,-25.5%,37,-2.6%,-46.4%,43,11,-121,96.6%,-0.9%,0.4%
,September 2012,$460K,-12.0%,4.4%,25,-21.9%,-34.2%,40,14.3%,2.6%,44,18.9%,-26.7%,41,-2,-57,96.7%,0.1%,-0.4%
,October 2012,$450K,-2.2%,3.4%,35,40.0%,-12.5%,42,5.0%,35.5%,38,-13.6%,-24.0%,36,-6,-66,98.0%,1.3%,1.9%
,November 2012,$429K,-4.7%,12.6%,34,-2.9%,9.7%,37,-11.9%,85.0%,26,-31.6%,-39.5%,36,1,-65,97.7%,-0.3%,2.8%
,December 2012,$426K,-0.7%,0.4%,35,2.9%,29.6%,18,-51.4%,0.0%,23,-11.5%,-36.1%,47,11,-59,97.5%,-0.2%,4.6%
,January 2013,$457K,7.3%,2.5%,24,-31.4%,20.0%,18,0.0%,-37.9%,29,26.1%,-21.6%,72,25,-29,95.8%,-1.7%,1.9%
,February 2013,$426K,-6.8%,12.7%,21,-12.5%,-4.5%,30,66.7%,-9.1%,30,3.4%,-6.3%,73,1,-24,96.7%,0.9%,1.9%
,March 2013,$426K,0.0%,0.5%,25,19.0%,0.0%,46,53.3%,12.2%,31,3.3%,6.9%,74,1,17,96.9%,0.2%,0.5%
,April 2013,$517K,21.4%,21.8%,23,-8.0%,-32.4%,54,17.4%,25.6%,38,22.6%,22.6%,42,-32,-2,98.2%,1.4%,1.7%
,May 2013,$548K,6.0%,15.5%,27,17.4%,-34.1%,59,9.3%,5.4%,47,23.7%,9.3%,20,-22,-6,98.4%,0.2%,0.6%
,June 2013,$586K,6.9%,26.1%,28,3.7%,-33.3%,63,6.8%,10.5%,40,-14.9%,-14.9%,26,6,-8,98.4%,0.0%,0.7%
,July 2013,$590K,0.7%,18.8%,43,53.6%,13.2%,65,3.2%,32.7%,42,5.0%,10.5%,25,-1,-7,98.4%,0.0%,0.9%
,August 2013,$595K,0.8%,13.8%,51,18.6%,59.4%,62,-4.6%,77.1%,43,2.4%,16.2%,26,1,-18,98.2%,-0.2%,1.6%
,September 2013,$588K,-1.3%,27.7%,53,3.9%,112.0%,53,-14.5%,32.5%,33,-23.3%,-25.0%,27,2,-14,98.9%,0.7%,2.2%
,October 2013,$525K,-10.6%,16.7%,52,-1.9%,48.6%,51,-3.8%,21.4%,36,9.1%,-5.3%,26,-2,-10,98.9%,0.0%,0.9%
,November 2013,$515K,-1.9%,20.0%,41,-21.2%,20.6%,40,-21.6%,8.1%,33,-8.3%,26.9%,26,0,-11,99.1%,0.2%,1.4%
,December 2013,$454K,-11.8%,6.6%,38,-7.3%,8.6%,29,-27.5%,61.1%,25,-24.2%,8.7%,21,-5,-26,98.8%,-0.3%,1.3%
,January 2014,$450K,-0.9%,-1.6%,25,-34.2%,4.2%,18,-37.9%,0.0%,28,12.0%,-3.4%,54,33,-18,98.3%,-0.5%,2.5%
,February 2014,$460K,2.2%,8.0%,23,-8.0%,9.5%,18,0.0%,-40.0%,25,-10.7%,-16.7%,67,13,-6,97.8%,-0.5%,1.1%
,March 2014,$500K,8.7%,17.4%,18,-21.7%,-28.0%,36,100.0%,-21.7%,26,4.0%,-16.1%,65,-2,-9,97.2%,-0.6%,0.3%
,April 2014,$548K,9.5%,5.9%,25,38.9%,8.7%,47,30.6%,-13.0%,31,19.2%,-18.4%,8,-57,-34,99.7%,2.5%,1.5%
,May 2014,$548K,0.0%,-0.1%,29,16.0%,7.4%,58,23.4%,-1.7%,32,3.2%,-31.9%,8,0,-12,99.9%,0.1%,1.5%
,June 2014,$609K,11.2%,3.9%,40,37.9%,42.9%,62,6.9%,-1.6%,35,9.4%,-12.5%,12,4,-14,100.3%,0.4%,1.9%
,July 2014,$639K,4.9%,8.3%,40,0.0%,-7.0%,59,-4.8%,-9.2%,29,-17.1%,-31.0%,18,6,-7,98.9%,-1.3%,0.5%
,August 2014,$625K,-2.2%,5.0%,55,37.5%,7.8%,55,-6.8%,-11.3%,22,-24.1%,-48.8%,18,0,-8,99.0%,0.1%,0.8%
,September 2014,$600K,-4.0%,2.1%,57,3.6%,7.5%,53,-3.6%,0.0%,31,40.9%,-6.1%,19,1,-9,98.8%,-0.2%,-0.1%
,October 2014,$528K,-12.0%,0.6%,60,5.3%,15.4%,46,-13.2%,-9.8%,21,-32.3%,-41.7%,15,-4,-11,100.1%,1.3%,1.2%
,November 2014,$512K,-3.1%,-0.7%,44,-26.7%,7.3%,39,-15.2%,-2.5%,14,-33.3%,-57.6%,20,5,-6,99.8%,-0.3%,0.7%
,December 2014,$526K,2.8%,15.8%,41,-6.8%,7.9%,23,-41.0%,-20.7%,13,-7.1%,-48.0%,28,8,7,99.5%,-0.3%,0.7%
,January 2015,$525K,-0.2%,16.7%,35,-14.6%,40.0%,19,-17.4%,5.6%,11,-15.4%,-60.7%,41,13,-13,98.2%,-1.3%,-0.1%
,February 2015,$547K,4.3%,19.0%,32,-8.6%,39.1%,32,68.4%,77.8%,21,90.9%,-16.0%,61,20,-6,98.9%,0.8%,1.1%
,March 2015,$550K,0.5%,10.0%,31,-3.1%,72.2%,40,25.0%,11.1%,24,14.3%,-7.7%,49,-12,-16,100.5%,1.6%,3.3%
,April 2015,$580K,5.5%,5.9%,28,-9.7%,12.0%,46,15.0%,-2.1%,20,-16.7%,-35.5%,8,-41,0,101.9%,1.4%,2.1%
,May 2015,$559K,-3.6%,2.1%,31,10.7%,6.9%,52,13.0%,-10.3%,30,50.0%,-6.3%,8,0,0,101.7%,-0.2%,1.8%
,June 2015,$563K,0.6%,-7.6%,36,16.1%,-10.0%,54,3.8%,-12.9%,25,-16.7%,-28.6%,7,-1,-5,103.1%,1.4%,2.8%
,July 2015,$580K,3.1%,-9.2%,47,30.6%,17.5%,60,11.1%,1.7%,25,0.0%,-13.8%,8,1,-10,100.8%,-2.3%,1.9%
,August 2015,$600K,3.4%,-4.0%,54,14.9%,-1.8%,45,-25.0%,-18.2%,24,-4.0%,9.1%,9,1,-9,100.5%,-0.3%,1.5%
,September 2015,$655K,9.2%,9.2%,46,-14.8%,-19.3%,43,-4.4%,-18.9%,21,-12.5%,-32.3%,16,7,-3,98.7%,-1.8%,-0.1%
,October 2015,$655K,0.0%,24.0%,37,-19.6%,-38.3%,33,-23.3%,-28.3%,19,-9.5%,-9.5%,17,1,2,99.1%,0.4%,-1.0%
,November 2015,$717K,9.5%,40.3%,29,-21.6%,-34.1%,26,-21.2%,-33.3%,13,-31.6%,-7.1%,17,-1,-4,99.4%,0.3%,-0.4%
,December 2015,$654K,-8.8%,24.3%,25,-13.8%,-39.0%,18,-30.8%,-21.7%,9,-30.8%,-30.8%,16,-1,-12,99.3%,-0.2%,-0.2%
,January 2016,$650K,-0.6%,23.8%,17,-32.0%,-51.4%,22,22.2%,15.8%,11,22.2%,0.0%,36,20,-5,99.3%,0.0%,1.1%
,February 2016,$508K,-21.8%,-7.2%,22,29.4%,-31.3%,29,31.8%,-9.4%,12,9.1%,-42.9%,14,-22,-47,98.7%,-0.5%,-0.2%
,March 2016,$595K,17.1%,8.2%,23,4.5%,-25.8%,42,44.8%,5.0%,17,41.7%,-29.2%,9,-5,-40,99.7%,1.0%,-0.8%
,April 2016,$653K,9.8%,12.6%,35,52.2%,25.0%,55,31.0%,19.6%,26,52.9%,30.0%,7,-2,-1,100.7%,1.0%,-1.1%
,May 2016,$695K,6.4%,24.3%,35,0.0%,12.9%,67,21.8%,28.8%,27,3.8%,-10.0%,7,0,-1,102.5%,1.8%,0.8%
,June 2016,$695K,0.0%,23.5%,48,37.1%,33.3%,74,10.4%,37.0%,27,0.0%,8.0%,8,1,1,101.3%,-1.2%,-1.8%
,July 2016,$686K,-1.3%,18.3%,58,20.8%,23.4%,68,-8.1%,13.3%,26,-3.7%,4.0%,10,2,2,101.2%,-0.1%,0.4%
,August 2016,$688K,0.2%,14.6%,68,17.2%,25.9%,65,-4.4%,44.4%,30,15.4%,25.0%,10,0,1,101.0%,-0.3%,0.4%
,September 2016,$678K,-1.4%,3.5%,61,-10.3%,32.6%,64,-1.5%,48.8%,33,10.0%,57.1%,11,1,-5,100.8%,-0.2%,2.1%
,October 2016,$659K,-2.8%,0.7%,52,-14.8%,40.5%,52,-18.8%,57.6%,21,-36.4%,10.5%,16,5,-1,99.9%,-0.9%,0.7%
,November 2016,$650K,-1.4%,-9.4%,49,-5.8%,69.0%,41,-21.2%,57.7%,16,-23.8%,23.1%,27,11,11,99.0%,-0.9%,-0.5%
,December 2016,$651K,0.2%,-0.5%,46,-6.1%,84.0%,21,-48.8%,16.7%,14,-12.5%,55.6%,24,-3,8,99.5%,0.6%,0.2%
,January 2017,$656K,0.8%,0.9%,38,-17.4%,123.5%,25,19.0%,13.6%,20,42.9%,81.8%,28,4,-8,99.8%,0.3%,0.6%
,February 2017,$705K,7.4%,38.6%,26,-31.6%,18.2%,20,-20.0%,-31.0%,13,-35.0%,8.3%,32,4,18,99.9%,0.1%,1.2%
,March 2017,$723K,2.6%,21.4%,24,-7.7%,4.3%,30,50.0%,-28.6%,15,15.4%,-11.8%,15,-17,6,101.2%,1.2%,1.5%
,April 2017,$846K,17.0%,29.5%,26,8.3%,-25.7%,31,3.3%,-43.6%,10,-33.3%,-61.5%,8,-7,1,104.3%,3.1%,3.6%
,May 2017,$832K,-1.6%,19.7%,39,50.0%,11.4%,43,38.7%,-35.8%,13,30.0%,-51.9%,9,1,2,104.6%,0.2%,2.1%
,June 2017,$859K,3.2%,23.5%,41,5.1%,-14.6%,46,7.0%,-37.8%,11,-15.4%,-59.3%,11,2,3,104.5%,0.0%,3.2%
,July 2017,$845K,-1.6%,23.2%,46,12.2%,-20.7%,54,17.4%,-20.6%,11,0.0%,-57.7%,11,0,1,102.3%,-2.3%,1.0%
,August 2017,$750K,-11.3%,9.0%,48,4.3%,-29.4%,54,0.0%,-16.9%,21,90.9%,-30.0%,10,-1,0,102.3%,0.0%,1.4%
,September 2017,$705K,-5.9%,4.0%,47,-2.1%,-23.0%,62,14.8%,-3.1%,23,9.5%,-30.3%,10,-1,-2,100.7%,-1.6%,-0.1%
,October 2017,$749K,6.2%,13.6%,53,12.8%,1.9%,53,-14.5%,1.9%,22,-4.3%,4.8%,11,2,-5,100.1%,-0.6%,0.2%
,November 2017,$750K,0.1%,15.4%,43,-18.9%,-12.2%,45,-15.1%,9.8%,14,-36.4%,-12.5%,20,9,-7,97.9%,-2.2%,-1.0%
,December 2017,$788K,5.0%,21.0%,42,-2.3%,-8.7%,23,-48.9%,9.5%,6,-57.1%,-57.1%,20,0,-4,98.1%,0.1%,-1.5%
,January 2018,$763K,-3.2%,16.2%,27,-35.7%,-28.9%,17,-26.1%,-32.0%,6,0.0%,-70.0%,24,4,-4,98.2%,0.1%,-1.6%
,February 2018,$928K,21.7%,31.7%,25,-7.4%,-3.8%,21,23.5%,5.0%,9,50.0%,-30.8%,13,-11,-19,98.8%,0.6%,-1.1%
,March 2018,$890K,-4.1%,23.2%,27,8.0%,12.5%,43,104.8%,43.3%,12,33.3%,-20.0%,10,-4,-6,101.4%,2.6%,0.2%
,April 2018,$875K,-1.7%,3.5%,37,37.0%,42.3%,58,34.9%,87.1%,14,16.7%,40.0%,8,-2,0,101.6%,0.2%,-2.7%
,May 2018,$845K,-3.4%,1.6%,49,32.4%,25.6%,59,1.7%,37.2%,11,-21.4%,-15.4%,7,-1,-2,103.1%,1.5%,-1.4%
,June 2018,$760K,-10.1%,-11.5%,50,2.0%,22.0%,51,-13.6%,10.9%,18,63.6%,63.6%,7,0,-4,103.2%,0.0%,-1.4%
,July 2018,$805K,5.9%,-4.7%,44,-12.0%,-4.3%,51,0.0%,-5.6%,25,38.9%,127.3%,8,1,-3,102.8%,-0.3%,0.6%
,August 2018,$799K,-0.7%,6.6%,39,-11.4%,-18.8%,51,0.0%,-5.6%,22,-12.0%,4.8%,9,1,-1,101.1%,-1.7%,-1.2%
,September 2018,$819K,2.4%,16.1%,34,-12.8%,-27.7%,62,21.6%,0.0%,35,59.1%,52.2%,15,6,6,99.6%,-1.4%,-1.1%
,October 2018,$799K,-2.4%,6.7%,37,8.8%,-30.2%,66,6.5%,24.5%,41,17.1%,86.4%,14,-1,3,99.9%,0.2%,-0.2%
,November 2018,$825K,3.3%,10.0%,36,-2.7%,-16.3%,60,-9.1%,33.3%,33,-19.5%,135.7%,16,2,-5,99.3%,-0.6%,1.4%
,December 2018,$836K,1.3%,6.2%,39,8.3%,-7.1%,38,-36.7%,65.2%,27,-18.2%,350.0%,27,11,7,99.0%,-0.3%,1.0%
,January 2019,$791K,-5.4%,3.7%,37,-5.1%,37.0%,24,-36.8%,41.2%,21,-22.2%,250.0%,56,30,32,98.4%,-0.7%,0.1%
,February 2019,$730K,-7.7%,-21.3%,37,0.0%,48.0%,27,12.5%,28.6%,20,-4.8%,122.2%,65,9,52,97.7%,-0.7%,-1.1%
,March 2019,$715K,-2.0%,-19.7%,39,5.4%,44.4%,41,51.9%,-4.7%,13,-35.0%,8.3%,62,-3,53,98.0%,0.3%,-3.4%
,April 2019,$737K,3.0%,-15.8%,49,25.6%,32.4%,57,39.0%,-1.7%,24,84.6%,71.4%,26,-36,18,99.0%,1.0%,-2.6%
,May 2019,$765K,3.9%,-9.5%,57,16.3%,16.3%,72,26.3%,22.0%,29,20.8%,163.6%,10,-16,3,99.8%,0.8%,-3.4%
,June 2019,$765K,0.0%,0.7%,57,0.0%,14.0%,69,-4.2%,35.3%,25,-13.8%,38.9%,11,1,4,99.8%,0.0%,-3.3%
,July 2019,$790K,3.3%,-1.9%,55,-3.5%,25.0%,54,-21.7%,5.9%,22,-12.0%,-12.0%,13,2,5,99.3%,-0.5%,-3.5%
,August 2019,$818K,3.5%,2.3%,48,-12.7%,23.1%,46,-14.8%,-9.8%,23,4.5%,4.5%,18,5,9,99.1%,-0.2%,-2.0%
,September 2019,$875K,7.0%,6.9%,43,-10.4%,26.5%,40,-13.0%,-35.5%,26,13.0%,-25.7%,20,2,5,99.2%,0.1%,-0.4%
,October 2019,$909K,3.9%,13.8%,36,-16.3%,-2.7%,40,0.0%,-39.4%,20,-23.1%,-51.2%,24,5,10,99.4%,0.2%,-0.5%
,November 2019,$845K,-7.1%,2.4%,32,-11.1%,-11.1%,30,-25.0%,-50.0%,19,-5.0%,-42.4%,22,-3,6,99.3%,0.0%,0.0%
,December 2019,$839K,-0.7%,0.4%,31,-3.1%,-20.5%,23,-23.3%,-39.5%,17,-10.5%,-37.0%,22,0,-5,99.2%,-0.1%,0.2%
,January 2020,$931K,11.0%,17.8%,23,-25.8%,-37.8%,24,4.3%,0.0%,15,-11.8%,-28.6%,38,16,-19,98.7%,-0.5%,0.4%
,February 2020,$923K,-0.9%,26.4%,24,4.3%,-35.1%,27,12.5%,0.0%,17,13.3%,-15.0%,37,-1,-28,101.2%,2.4%,3.5%
,March 2020,$870K,-5.7%,21.7%,25,4.2%,-35.9%,37,37.0%,-9.8%,19,11.8%,46.2%,31,-7,-32,102.6%,1.5%,4.6%
,April 2020,$895K,2.9%,21.5%,29,16.0%,-40.8%,36,-2.7%,-36.8%,18,-5.3%,-25.0%,9,-22,-17,103.2%,0.6%,4.3%
,May 2020,$870K,-2.8%,13.7%,25,-13.8%,-56.1%,43,19.4%,-40.3%,22,22.2%,-24.1%,10,1,0,101.1%,-2.2%,1.3%
,June 2020,$897K,3.1%,17.3%,28,12.0%,-50.9%,66,53.5%,-4.3%,39,77.3%,56.0%,7,-3,-4,99.2%,-1.8%,-0.6%
,July 2020,$845K,-5.8%,7.0%,40,42.9%,-27.3%,89,34.8%,64.8%,42,7.7%,90.9%,10,3,-3,99.0%,-0.3%,-0.4%
,August 2020,$850K,0.6%,4.0%,54,35.0%,12.5%,95,6.7%,106.5%,41,-2.4%,78.3%,10,0,-8,100.1%,1.1%,0.9%
,September 2020,$835K,-1.8%,-4.6%,62,14.8%,44.2%,81,-14.7%,102.5%,43,4.9%,65.4%,12,2,-8,99.7%,-0.4%,0.5%
,October 2020,$859K,2.9%,-5.5%,61,-1.6%,69.4%,63,-22.2%,57.5%,43,0.0%,115.0%,16,5,-8,99.6%,0.0%,0.3%
"Seattle, WA - Arbor Heights",February 2012,$272K,8.8%,-7.8%,13,-18.8%,-35.0%,23,35.3%,-28.1%,24,-4.0%,-35.1%,104,51,74,97.7%,-0.6%,0.5%
,March 2012,$330K,21.2%,26.1%,20,53.8%,25.0%,24,4.3%,-22.6%,20,-16.7%,-37.5%,87,-17,54,97.7%,0.0%,1.5%
,April 2012,$325K,-1.4%,27.5%,23,15.0%,9.5%,26,8.3%,-16.1%,18,-10.0%,-48.6%,49,-38,21,97.4%,-0.3%,0.7%
,May 2012,$328K,0.8%,15.7%,24,4.3%,9.1%,31,19.2%,14.8%,23,27.8%,-36.1%,37,-12,-6,98.4%,1.0%,2.5%
,June 2012,$325K,-0.8%,1.6%,22,-8.3%,15.8%,32,3.2%,-8.6%,19,-17.4%,-57.8%,22,-15,1,99.2%,0.8%,2.2%
,July 2012,$325K,0.0%,-2.2%,22,0.0%,57.1%,32,0.0%,-17.9%,19,0.0%,-55.8%,34,12,-4,99.2%,0.0%,2.0%
,August 2012,$293K,-9.8%,3.5%,28,27.3%,75.0%,28,-12.5%,-28.2%,21,10.5%,-51.2%,41,8,23,99.5%,0.3%,1.3%
,September 2012,$282K,-3.8%,-1.0%,30,7.1%,57.9%,31,10.7%,-11.4%,24,14.3%,-35.1%,42,1,-8,99.0%,-0.4%,1.8%
,October 2012,$293K,3.6%,1.0%,35,16.7%,59.1%,26,-16.1%,4.0%,16,-33.3%,-46.7%,37,-5,-6,99.0%,-0.1%,1.9%
,November 2012,$261K,-10.8%,-9.8%,32,-8.6%,33.3%,25,-3.8%,47.1%,18,12.5%,-30.8%,23,-15,-21,98.8%,-0.1%,1.6%
,December 2012,$283K,8.2%,-2.2%,30,-6.3%,76.5%,18,-28.0%,38.5%,14,-22.2%,-41.7%,23,0,-19,98.7%,-0.2%,1.0%
